"<ID>";"<ENT>N";"avoir = concevoir";"avoir = éprouver";"avoir = ressentir";"Det =: un";"Det =: un-Modif";"Det =: du";"Prép1 =: à l'égard de";"Prép1 =: avec";"Prép1 =: pour";"N1 =: Nhum";"N1 =: N-hum";"N0 être Adj Prép N1";"GN =: le N de N0 Prép N1";"avoir = encourir";"avoir = être en butte à";"avoir = (être+faire) l'objet de";"avoir = subir";"Exemple Base1";"Exemple Autre1"
"1";"admiration";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"2";"affection";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"Max a de l'affection pour ses enfants";"~"
"3";"amitié";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~"
"4";"amour";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~"
"5";"animosité";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"6";"antipathie";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~"
"7";"appréhension";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~"
"8";"attachement";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~"
"9";"bienveillance";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max a une certaine bienveillance (pour+envers+à l'égard de) Luc";"~"
"10";"circonspection";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"11";"clémence";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"12";"compassion";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"13";"complaisance";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"14";"complicité";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"~";"~"
"15";"compréhension";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"16";"confiance";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"17";"connivence";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"~";"~"
"18";"considération";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Max a de la considération pour (ce geste+Luc)";"~"
"19";"crainte";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"20";"dédain";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"~";"~"
"21";"déférence";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~"
"22";"défiance";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"~";"~"
"23";"dégoût";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"24";"désaccord";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~"
"25";"désaffection";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"~";"~"
"26";"dévotion";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~"
"27";"dévouement";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~"
"28";"dilection";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"29";"égards";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~"
"30";"émerveillement";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"31";"engouement";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"Max a de l'engouement pour cette théorie";"~"
"32";"enthousiasme";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"33";"espoirs";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"~";"~"
"34";"estime";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Max a de l'estime pour Jean";"~"
"35";"faveur";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"~";"Max a la faveur (E+de souverain+du public)"
"36";"ferveur";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Max a une certaine ferveur pour ce spectacle";"~"
"37";"fidélité";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"Max a de la fidélité à l'opération de Léa"
"38";"gratitude";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~"
"39";"haine";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"40";"hostilité";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"~";"~"
"41";"indifférence";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"~";"~"
"42";"indignation";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"43";"indulgence";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"44";"inimitié";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"45";"intérêt";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"46";"méfiance";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"~";"~"
"47";"mépris";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"48";"miséricorde";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"49";"neutralité";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"~";"~"
"50";"nostalgie";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"51";"pitié";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"52";"prédilection";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"53";"prévention";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"~";"~"
"54";"reconnaissance";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~"
"55";"regrets";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"56";"respect";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"57";"ressentiment";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"~";"~"
"58";"réticence";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"~";"~"
"59";"sollicitude";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"60";"soupçon";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~"
"61";"souvenir";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~";"~"
"62";"sympathie";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"63";"tendresse";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
"64";"vénération";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"~";"~"
