"<ID>";"<ENT>N";"Det =: un";"Det =: des";"Det =: un-Modif";"Vsup =: acquérir";"Vsup =: (émettre+formuler)";"Vsup =: vivre dans";"Vsup =: donner";"N0 avoir le N Qu P sur N1";"N0 en avoir le N";"Det =: un-(juste+faux)"
"1";"argument";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+"
"2";"argumentation";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+"
"3";"appréciation";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"4";"à priori";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+"
"5";"arrière-pensée";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-"
"6";"avis";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+"
"7";"certitude";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-"
"8";"conviction";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-"
"9";"croyance";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+"
"10";"connaissances";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+"
"11";"doctrine";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+"
"12";"doute";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-"
"13";"diagnostic";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+"
"14";"éclair de conscience";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"15";"éclair de lucidité";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"16";"estimation";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"17";"évaluation";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"18";"fantasme";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-"
"19";"hypothèse";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+"
"20";"idée";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+"
"21";"illusion";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-"
"22";"incertitude";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-"
"23";"intuition";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+"
"24";"ignorance";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-"
"25";"jugement";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+"
"26";"lumières";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-"
"27";"lacune";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"28";"notion";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+"
"29";"opinion";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+"
"30";"optique";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-"
"31";"perspective";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+"
"32";"philosophie";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-"
"33";"pensée";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+"
"34";"point de vue";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+"
"35";"préjugé";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-"
"36";"présomption";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-"
"37";"principe";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+"
"38";"regard";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+"
"39";"souvenir";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-"
"40";"superstition";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-"
"41";"soupçon";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-"
"42";"savoir";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-"
"43";"sentiment";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+"
"44";"théorie";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+"
"45";"visées";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"46";"vues";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"47";"verdict";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+"
"48";"trou de mémoire";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"49";"trait de lumière";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-"
