"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"N0 =: Dislocation";"<ENT>N";"Det =: le, Vsup =: (avoir+prendre)";"Det =: un, Vsup =: (avoir+prendre)";"Det =: un-Modif, Vsup =: (avoir+prendre)";"Det =: des, Vsup =: (avoir+prendre)";"Det =: du, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: perdre";"Det =: du, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1hum donner Det N à N0";"N1hum trouver du N à N0";"ADR";"Exemple Base1"
"1";"-";"+";"-";"-";"adhérence";"-";"-";"+";"-";"+";"-";"+";"+";"+";"sur";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"~"
"2";"+";"-";"-";"-";"aisance";"-";"-";"+";"-";"+";"-";"-";"+";"+";"à";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"~"
"3";"+";"-";"+";"+";"aisance";"-";"-";"+";"-";"+";"-";"-";"+";"+";"avec";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"~"
"4";"+";"-";"+";"+";"assurance";"-";"-";"+";"-";"+";"-";"-";"+";"+";"avec";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"~"
"5";"+";"-";"-";"-";"attitude";"-";"-";"+";"+";"-";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"Max a une attitude figée"
"6";"+";"+";"+";"-";"attrait";"-";"+";"+";"+";"-";"-";"-";"+";"+";"pour";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"~"
"7";"-";"+";"+";"-";"audience";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~"
"8";"+";"-";"+";"+";"autorité";"-";"-";"+";"-";"+";"-";"-";"+";"+";"avec";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"~"
"9";"+";"-";"-";"-";"autorité";"-";"-";"+";"-";"+";"-";"-";"+";"+";"sur";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"~"
"10";"+";"+";"-";"-";"avance";"-";"-";"+";"-";"+";"-";"-";"+";"+";"sur";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"(Luc a une avance de 2 minutes sur le peloton+Cette montre a une avance de 2 minutes sur l'heure exacte)"
"11";"+";"+";"+";"-";"avantage";"+";"+";"+";"+";"-";"-";"-";"+";"+";"sur";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"Luc (a+prend) un avantage certain sur ses poursuivants"
"12";"+";"+";"+";"-";"charme";"-";"-";"+";"+";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"~"
"13";"+";"-";"-";"-";"commandement";"+";"-";"-";"-";"-";"+";"-";"-";"+";"de";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"Max a le commandement de cette troupe"
"14";"+";"-";"-";"-";"commission";"-";"+";"+";"+";"-";"-";"-";"+";"+";"sur";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"~"
"15";"+";"+";"-";"-";"comportement";"-";"-";"+";"+";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~"
"16";"+";"-";"-";"-";"compte";"-";"+";"+";"+";"-";"-";"-";"+";"+";"Loc";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~"
"17";"-";"+";"+";"-";"conséquence";"-";"-";"+";"+";"-";"-";"-";"+";"+";"sur";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"~"
"18";"+";"+";"+";"-";"crédit";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~"
"19";"-";"-";"-";"-";"crédit";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"~"
"20";"-";"-";"-";"-";"dextérité";"-";"-";"+";"-";"+";"-";"-";"+";"+";"à";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"~"
"21";"+";"+";"+";"-";"effet";"-";"+";"+";"+";"+";"-";"+";"+";"+";"sur";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"~"
"22";"+";"-";"-";"-";"endurance";"-";"+";"+";"+";"+";"-";"+";"+";"+";"à";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"~"
"23";"+";"-";"-";"-";"entrain";"-";"-";"+";"-";"+";"-";"-";"+";"+";"à";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"~"
"24";"-";"+";"-";"-";"extension";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"(Cette langue+Le commerce) a ici une grande extension"
"25";"+";"-";"-";"-";"façons";"-";"-";"-";"+";"-";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"~"
"26";"+";"-";"-";"-";"feu sacré";"+";"-";"+";"-";"-";"-";"-";"+";"+";"pour";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~"
"27";"+";"+";"+";"-";"fonction";"-";"-";"+";"+";"-";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"Max a une fonction au ministère"
"28";"+";"+";"+";"+";"importance";"-";"+";"+";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"29";"+";"-";"-";"-";"indépendance";"-";"-";"+";"-";"+";"-";"-";"+";"+";"vis à vis de";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"30";"-";"+";"-";"-";"indépendance";"-";"-";"+";"-";"-";"-";"-";"+";"+";"vis à vis de";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~"
"31";"+";"+";"+";"-";"influence";"-";"-";"+";"+";"+";"-";"-";"+";"+";"sur";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"32";"+";"+";"+";"-";"intérêt";"-";"-";"+";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"33";"+";"-";"+";"+";"intolérance";"-";"-";"+";"-";"+";"-";"-";"+";"+";"avec";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"~"
"34";"+";"-";"+";"+";"laisser-aller";"-";"-";"+";"-";"+";"-";"-";"+";"+";"avec";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"~"
"35";"+";"+";"+";"-";"magnétisme";"-";"-";"+";"-";"+";"-";"+";"+";"+";"sur";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~"
"36";"+";"-";"-";"-";"main";"+";"-";"-";"-";"-";"+";"-";"-";"-";"pour";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"37";"+";"-";"-";"-";"manière";"+";"-";"+";"+";"-";"+";"-";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~"
"38";"+";"-";"-";"-";"manières";"-";"-";"-";"+";"-";"-";"-";"+";"+";"avec";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~"
"39";"+";"-";"+";"+";"mansuétude";"-";"-";"+";"-";"+";"-";"-";"+";"+";"vis à vis de";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"~"
"40";"+";"-";"-";"-";"marge";"-";"-";"+";"+";"-";"-";"-";"+";"+";"sur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~"
"41";"+";"-";"+";"+";"morgue";"-";"-";"+";"-";"+";"-";"-";"+";"+";"avec";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"~"
"42";"+";"+";"+";"-";"notoriété";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"--";"~"
"43";"+";"+";"+";"-";"orientation";"-";"-";"+";"+";"-";"-";"-";"+";"+";"vers";"-";"+";"+";"- -";"-";"+";"-";"+";"+";"+";"-";"+";"~"
"44";"+";"-";"-";"-";"penchant";"-";"+";"+";"+";"-";"-";"-";"+";"+";"à";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"~"
"45";"+";"-";"-";"-";"perspective";"-";"-";"+";"+";"-";"-";"-";"+";"+";"sur";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"~"
"46";"-";"-";"-";"-";"phobie";"+";"-";"+";"+";"-";"-";"-";"+";"+";"de";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~"
"47";"-";"+";"+";"-";"piment";"-";"-";"+";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"~"
"48";"-";"+";"+";"-";"place";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~"
"49";"+";"-";"-";"-";"plaisir";"-";"-";"+";"-";"+";"-";"-";"+";"+";"à";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~"
"50";"+";"+";"+";"-";"poids";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"51";"+";"-";"-";"-";"point de vue";"-";"+";"+";"+";"-";"-";"-";"+";"+";"sur";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"~"
"52";"-";"+";"+";"-";"portée";"-";"-";"+";"-";"+";"-";"+";"+";"+";"Loc";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~"
"53";"+";"+";"-";"-";"position";"-";"-";"+";"-";"-";"-";"-";"-";"+";"Loc";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~"
"54";"+";"-";"-";"-";"poste";"-";"+";"+";"-";"-";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~"
"55";"+";"-";"-";"-";"pourcentage";"-";"+";"+";"+";"-";"-";"-";"+";"+";"Loc";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"~"
"56";"+";"+";"+";"-";"pouvoir";"-";"-";"+";"+";"+";"-";"+";"+";"+";"Loc";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"~"
"57";"+";"-";"-";"-";"présidence";"+";"-";"-";"-";"-";"+";"-";"-";"-";"de";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~"
"58";"+";"+";"+";"-";"presse";"-";"-";"+";"-";"-";"-";"-";"-";"+";"Loc";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~"
"59";"+";"+";"+";"-";"prestige";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"60";"+";"+";"+";"-";"priorité";"+";"-";"+";"-";"-";"-";"+";"+";"+";"sur";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"~"
"61";"+";"+";"+";"-";"prix";"-";"-";"+";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"~"
"62";"+";"+";"-";"-";"rang";"-";"+";"+";"-";"-";"-";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"~"
"63";"+";"+";"+";"-";"rayonnement";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"~"
"64";"+";"-";"-";"-";"recul";"-";"-";"+";"-";"+";"-";"-";"+";"+";"vis à vis de";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"65";"+";"-";"-";"-";"réflexe";"-";"-";"+";"+";"+";"-";"-";"+";"+";"devant";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"~"
"66";"+";"+";"+";"+";"relâchement";"-";"-";"+";"-";"+";"-";"-";"+";"+";"avec";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~"
"67";"+";"+";"+";"-";"réputation";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"~"
"68";"-";"+";"+";"-";"résonance";"-";"-";"+";"+";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"69";"-";"-";"-";"-";"responsabilité";"-";"-";"+";"+";"-";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~"
"70";"-";"+";"+";"-";"retard";"-";"-";"+";"-";"+";"-";"-";"+";"+";"sur";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~"
"71";"-";"+";"+";"-";"retentissement";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~"
"72";"-";"+";"+";"-";"rôle";"-";"+";"+";"+";"-";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"~"
"73";"--";"+";"+";"-";"saveur";"-";"+";"+";"+";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"~"
"74";"+";"+";"+";"-";"séduction";"-";"-";"+";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"~"
"75";"-";"+";"+";"-";"sel";"-";"-";"+";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"~"
"76";"-";"+";"+";"-";"sens";"-";"+";"+";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"~"
"77";"-";"+";"+";"-";"signification";"-";"+";"+";"+";"-";"-";"-";"+";"+";"pour";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"~"
"78";"+";"+";"-";"-";"statut";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Loc";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"~"
"79";"+";"+";"-";"-";"suprématie";"+";"-";"+";"-";"-";"-";"-";"+";"+";"sur";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~"
"80";"+";"+";"-";"-";"tendance";"-";"+";"+";"+";"-";"-";"-";"+";"+";"à";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"~"
"81";"+";"-";"+";"+";"ton";"-";"-";"+";"-";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~"
"82";"+";"+";"+";"-";"valeur";"-";"+";"+";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"~"
"83";"+";"+";"-";"-";"vedette";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~"
