"<ID>";"<ENT>N";"Det figé";"autre Det";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = attribuer";"donner = flanquer";"donner = passer";"Det =: un";"Det =: des";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = toucher"
"255";"mention passable";"-";"la";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"256";"mention très bien";"-";"la";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"257";"mention très honorable";"-";"la";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"258";"Mérite agricole";"le";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"259";"message politique";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"260";"minimum vital";"le";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+"
"261";"mission de confiance";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-"
"262";"mission secrète";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-"
"263";"mois treizième";"le";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+"
"264";"monnaie de singe";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+"
"265";"montants compensatoires";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"266";"mot de passe";"le";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-"
"267";"mot d'ordre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"268";"mot d'ordre de débrayage";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"269";"mot d'ordre de grève";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"270";"nationalité (française)";"la";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"271";"noms d'oiseaux";"des";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"272";"note administrative";"-";"Poss1";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"273";"numéro de compte";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"274";"numéro d'immatriculation";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"275";"numéro d'inscription";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"276";"numéro d'ordre";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"277";"numéro matricule";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"278";"ordre d'achat";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"279";"Ordre de Malte";"le";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"280";"ordre de marche";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-"
"281";"ordre de mission";"-";"Poss1";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-"
"282";"ordre de mobilisation";"-";"Poss1";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-"
"283";"ordre de vente";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-"
"284";"ordre écrit";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"285";"ordre verbal";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"286";"ordres majeurs";"les";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"287";"ordres mineurs";"les";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"288";"paire de claques";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-"
"289";"paire de gifles";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-"
"290";"palmes académiques";"les";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"291";"parole d'homme";"Poss0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-"
"292";"parole d'honneur";"Poss0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-"
"293";"part du pauvre";"la";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"294";"participation aux bénéfices";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"295";"peau d'âne";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"296";"pension alimentaire";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"297";"pension de reconversion";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"298";"pension d'invalidité";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"299";"pension viagère";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"300";"permis d'inhumer";"le";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"301";"permission de détente";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"302";"permission de minuit";"la";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"303";"pleins pouvoirs";"les";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"304";"plus-value";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+"
"305";"poignée de main";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-"
"306";"point de repère";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"307";"port d'armes";"-";"le";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"308";"poste de confiance";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"309";"pot-de-vin";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"310";"potion magique";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"311";"pourpre cardinalice";"la";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"312";"pourpre consulaire";"la";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"313";"pourpre romaine";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"314";"préavis de congé";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"315";"préavis de grève";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"316";"préavis de licenciement";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"317";"préavis de n jours";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"318";"premiers soins";"les";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"319";"prestations familiales";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"320";"prestations sociales";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"321";"preuve d'amour";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-"
"322";"prime à la construction";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"323";"prime à l'exportation";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"324";"prix académique";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"325";"prix de consolation";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"326";"prix d'encouragement";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"327";"prix Field";"le";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"328";"prix Goncourt";"le";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"329";"prix littéraire";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"330";"prix Nobel";"le";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"331";"prix scientifique";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"332";"qualification professionnelle";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"333";"quote-part";"Poss0";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-"
"334";"rallonge budgétaire";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+"
"335";"récompense académique";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"336";"récompense honorifique";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"337";"récompense scolaire";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"338";"rendez-vous";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-"
"339";"rendez-vous amoureux";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-"
"340";"rendez-vous d'affaire";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-"
"341";"rendez-vous d'amour";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-"
"342";"rendez-vous galant";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-"
"343";"rênes du pouvoir";"les";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"344";"renseignement militaire";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-"
"345";"rente viagère";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"346";"retraite complémentaire";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+"
"347";"revers de main";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-"
"348";"rosette d'off. de la L.d'h.";"la";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-"
"349";"sacrements de l'Eglise";"les";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"350";"salaire de misère";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+"
"351";"sauf-conduit";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"352";"secret militaire";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"353";"signal d'alarme";"-";"le";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-"
"354";"signal de départ";"le";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"355";"signe de vie";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-"
"356";"smic";"le";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"357";"smig";"le";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"358";"soins chirurgicaux";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"359";"soins de beauté";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"360";"soins dentaires";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"361";"soins médicaux";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-"
"362";"soupe d'onze heures";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"363";"soutien électoral";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"364";"soutien moral";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"365";"souveraineté territoriale";"-";"la";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"366";"supplément d'information";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"367";"sursis d'appel";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"368";"sursis d'incorporation";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"369";"témoignages de N";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-"
"370";"temps de parole";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-"
"371";"terme de grâce";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"372";"titre de noblesse";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"373";"titre de propriété";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"374";"titre héréditaire";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"375";"titre honorifique";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"376";"titre nobiliaire";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"377";"titre universitaire";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-"
"378";"tour de clef";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-"
"379";"visa de sortie";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"380";"visa d'entrée";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-"
"381";"volée de bois vert";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-"
"382";"volée de coups";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-"
"383";"vote de confiance";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"384";"zéro de conduite";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
"385";"zéro pointé";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-"
