"<ID>";"<ENT>N";"<OPT>V";"N0 =: Nhum";"N0 =: N-hum";"donner = allonger";"donner = asséner";"donner = filer";"donner = flanquer";"donner = jeter";"donner = passer";"donner = porter";"donner = tirer";"Det =: des";"N =: Nconc";"N =: Nabs";"recevoir = avoir";"recevoir = encaisser";"recevoir = essuyer";"recevoir = prendre";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det coup de N";"GN =: le coup de N de N0 à N1";"N0 V N1";"N0 passer Det N Loc N1";"N0 passer N à Det N1";"N0 V N1 un coup"
"1";"accélérateur";"accélérer";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+"
"2";"aiguillon";"aiguillonner";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+"
"3";"arrêt";"arrêter";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-"
"4";"aspirateur";"<E>";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-"
"5";"badigeon";"badigeonner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+"
"6";"baguette";"<E>";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"7";"balai";"balayer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+"
"8";"bambou";"<E>";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"9";"bâton";"bâtonner";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+"
"10";"bec";"<E>";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-"
"11";"bêche";"bêcher";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+"
"12";"binette";"biner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+"
"13";"botte";"botter";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-"
"14";"boutoir";"<E>";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-"
"15";"brosse";"brosser";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+"
"16";"burin";"buriner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+"
"17";"canne";"<E>";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"18";"chapeau";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"19";"chaux";"chauler";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"20";"chiffon";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-"
"21";"chrome";"chromer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"22";"cirage";"cirer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"23";"colle";"coller";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+"
"24";"coude";"<E>";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"25";"couteau";"<E>";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-"
"26";"cravache";"cravacher";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+"
"27";"crépi";"crépir";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"28";"dague";"<E>";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"29";"dent";"<E>";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-"
"30";"encensoir";"encenser";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+"
"31";"encre";"encrer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"32";"enduit";"enduire";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-"
"33";"épaule";"<E>";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"34";"éperon";"éperonner";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+"
"35";"éponge";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-"
"36";"étrille";"étriller";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-"
"37";"étrivière";"<E>";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-"
"38";"fard";"farder";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+"
"39";"fart";"farter";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"40";"fer";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-"
"41";"feu";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-"
"42";"fil";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"43";"flingue";"flinguer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-"
"44";"fouet";"fouetter";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+"
"45";"frein";"freiner";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+"
"46";"fusil";"<E>";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"47";"gaule";"gauler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+"
"48";"genou";"<E>";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"49";"gomme";"gommer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+"
"50";"grâce";"<E>";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-"
"51";"griffe";"griffer";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+"
"52";"hache";"<E>";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-"
"53";"herse";"herser";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"54";"lance";"<E>";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"55";"laque";"laquer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+"
"56";"lime";"limer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+"
"57";"lustre";"lustrer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+"
"58";"machette";"<E>";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"59";"main";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"60";"manchette";"<E>";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"61";"marteau";"marteler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+"
"62";"masse";"<E>";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-"
"63";"massue";"<E>";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-"
"64";"matraque";"matraquer";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+"
"65";"meule";"meuler";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+"
"66";"mixeur";"mixer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+"
"67";"nerf de boeuf";"<E>";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"68";"oeil";"<E>";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-"
"69";"ongle";"<E>";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-"
"70";"oxygène";"oxygéner";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+"
"71";"patine";"patiner";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"72";"patte";"<E>";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"73";"peigne";"peigner";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+"
"74";"peinture";"peindre";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+"
"75";"pied";"<E>";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"76";"pied au cul";"<E>";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"77";"pied de l'âne";"<E>";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-"
"78";"pied de pénalité";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"79";"pinceau";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-"
"80";"pioche";"piocher";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+"
"81";"pique";"<E>";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-"
"82";"pistolet";"<E>";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"83";"poignard";"poignarder";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-"
"84";"poinçon";"poinçonner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-"
"85";"poing";"<E>";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"86";"pommade";"pommader";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+"
"87";"pouce";"<E>";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-"
"88";"queue";"<E>";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-"
"89";"rabot";"raboter";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+"
"90";"râpe";"râper";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+"
"91";"rasoir";"raser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+"
"92";"repassage";"repasser";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+"
"93";"revolver";"<E>";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"94";"ripolin";"ripoliner";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
"95";"sabot";"<E>";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-"
"96";"sabre";"sabrer";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+"
"97";"savate";"<E>";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"98";"scie";"scier";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+"
"99";"semonce";"semoncer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-"
"100";"sonde";"sonder";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+"
"101";"talc";"talquer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+"
"102";"tampon";"tamponner";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+"
"103";"téléphone";"téléphoner";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+"
"104";"torchon";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-"
"105";"trique";"<E>";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-"
"106";"vernis";"vernir";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+"
