"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"un N Modif être fait par N0 W";"Det =: un";"Det =: des";"Det =: du";"Det =: Artg =: le";"Det =: Artg =: les";"Det =: <E>";"Det N être fait W par N0";"il être fait Det N W par N0";"Exemple Base1"
"1";"38l";"baver";"bave";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"~"
"2";"35l";"bifurquer";"bifurcation";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~"
"3";"34lo";"bouillonner";"bouillonnement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"4";"34lo";"bourdonner";"bourdonnement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"5";"34lo";"bourgeonner";"bourgeon";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"~"
"6";"34lo";"bourgeonner";"bourgeonnement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"7";"34lo";"bruire";"bruit";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"~"
"8";"31r";"cascader";"cascade";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"9";"34lo";"chatoyer";"chatoiement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"10";"34lo";"clapoter";"clapotis";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"11";"34lo";"clignoter";"clignotement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"12";"   9";"cliqueter";"cliquetis";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"13";"31r";"craquer";"craquement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"14";"34lo";"crépiter";"crépitement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"~"
"15";"   9";"crisser";"crissement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"16";"34lo";"dégouliner";"dégoulinade";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"17";"31r";"détoner";"détonation";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"18";"36s";"entrelacer";"entrelas";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"19";"34lo";"exploser";"explosion";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"La bombe a fait (E+une) explosion"
"20";"31r";"filer";"fil";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"~"
"21";"34lo";"flamboyer";"flamboiement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"22";"34lo";"froufrouter";"froufrou";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~"
"23";"34lo";"fumer";"fumée";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"~"
"24";"34lo";"gargouiller";"gargouilli";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"25";"   9";"glouglouter";"glouglou";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~"
"26";"31r";"goutter";"goutte";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"~"
"27";"31r";"grésiller";"grésillement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"28";"   9";"grincer";"grincement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"29";"34lo";"gronder";"grondement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"30";"31r";"juter";"jus";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~"
"31";"34lo";"miroiter";"miroitement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"32";"34lo";"mousser";"mousse";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"~"
"33";"   9";"murmurer";"murmure";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"34";"37m";"onduler";"ondulation";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"35";"35l";"osciller";"oscillation";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"36";"34lo";"papilloter";"papillotement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"37";"31r";"pelucher";"peluche";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"~"
"38";"34lo";"pétiller";"pétillement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"39";"34lo";"poudroyer";"poudroiement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"40";"34lo";"rayonner";"rayonnerment";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"41";"35l";"ricocher";"ricochet";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"42";"   5";"ronfler";"ronflement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"43";"   9";"ronronner";"ronronnement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"44";"34lo";"rougeoyer";"rougeoiement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"45";"31r";"rouler";"roulis";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"~"
"46";"34lo";"ruisseler";"ruissellement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"47";"34lo";"scintiller";"scintillement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"48";"35l";"serpenter";"serpentement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"49";"34lo";"suinter";"suintement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"50";"31r";"tanguer";"tangage";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"~"
"51";"34lo";"tinter";"tintement";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"52";"34lo";"tourbillonner";"tourbillon";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"53";"34lo";"trépider";"trépidation";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"54";"34lo";"vibrer";"vibration";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"55";"35l";"virer";"virage";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"56";"34lo";"vrombir";"vrombissement";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"~"
"57";"35l";"zigzaguer";"zigzag";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"~"
