"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N de N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1"
"1";"36dt";"acheter";"achat";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+"
"2";"36dt";"avancer";"avance";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+"
"3";"36dt";"céder";"cession";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+"
"4";"36dt";"distribuer";"distribution";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+"
"5";"36dt";"donner";"don";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+"
"6";"36dt";"emprunter";"emprunt";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+"
"7";"36dt";"léguer";"legs";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+"
"8";"36dt";"livrer";"livraison";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+"
"9";"36dt";"prêter";"prêt";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+"
"10";"36dt";"restituer";"restitution";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+"
"11";"16";"sacrifier";"sacrifice";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+"
"12";"36dt";"vendre";"vente";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+"
"13";"36dt";"verser";"versement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+"
"14";"36dt";"virer";"virement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+"
