"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: Poss0";"Det =: un-Modif, faire = pratiquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"1";"+";"+";"acoustique";"-";"-";"+";"-";"-";"+";"-";"que";"cien";"-";"-";"-"
"2";"+";"+";"aérobic";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"3";"+";"+";"aéromodélisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"4";"+";"+";"aéronautique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5";"+";"+";"aérostation";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"6";"+";"+";"aïki-budo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"7";"+";"+";"aïki-do";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"8";"+";"+";"aïki-jitsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"9";"+";"+";"aïkibudo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"10";"+";"+";"aïkido";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"11";"+";"+";"aïkido yoshinkan";"-";"-";"+";"-";"+";"+";"1";"-";"ka";"-";"-";"-"
"12";"+";"+";"alchimie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"13";"+";"+";"algèbre";"-";"-";"+";"-";"-";"+";"-";"e";"iste";"-";"-";"-"
"14";"+";"+";"allemand";"-";"-";"+";"-";"-";"+";"-";"-";"germaniste";"-";"-";"-"
"15";"+";"+";"alpinisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"16";"+";"+";"anglais";"-";"-";"+";"-";"-";"+";"-";"ais";"iciste";"-";"-";"-"
"17";"+";"+";"aquaplane";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"18";"+";"+";"architecture";"-";"-";"+";"-";"-";"+";"-";"ure";"e";"-";"-";"-"
"19";"+";"+";"arts appliqués";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20";"+";"+";"arts martiaux";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21";"+";"+";"astrologie";"-";"-";"+";"-";"-";"+";"-";"ie";"ue";"-";"-";"-"
"22";"+";"+";"astronomie";"-";"-";"+";"-";"-";"+";"-";"ie";"e";"-";"-";"-"
"23";"+";"+";"athlétisme";"-";"-";"+";"-";"-";"+";"-";"étisme";"ète";"-";"-";"-"
"24";"+";"+";"athlétisme en salle";"-";"-";"+";"-";"+";"+";"1";"étisme";"ète";"-";"-";"-"
"25";"+";"+";"auto-cross";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26";"+";"+";"bhakti-yoga";"-";"-";"+";"-";"-";"+";"2";"a";"i";"-";"-";"-"
"27";"+";"+";"bhaktiyoga";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-"
"28";"+";"-";"balai-ballon sur glace";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"29";"+";"+";"ball-trap";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"30";"+";"+";"balle au mur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"31";"+";"+";"balle au tambourin";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"32";"+";"+";"balle-molle";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"33";"+";"+";"ballon au poing";"-";"-";"+";"-";"-";"+";"1";"-";"niste";"-";"-";"-"
"34";"+";"+";"ballon libre";"-";"-";"+";"-";"-";"+";"1";"-";"niste";"-";"-";"-"
"35";"+";"+";"ballon sous-marin";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"36";"+";"+";"bare-foot";"-";"-";"+";"-";"-";"+";"2";"-";"eur";"-";"-";"-"
"37";"+";"+";"barefoot";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-"
"38";"+";"+";"batto-jutsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"39";"+";"+";"bench-rest";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"40";"+";"+";"biochimie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"41";"+";"+";"biologie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"42";"+";"+";"biologie appliquée";"-";"-";"+";"-";"+";"+";"1";"e";"ste";"-";"-";"-"
"43";"+";"+";"blues";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"44";"+";"+";"bo-do";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"45";"+";"-";"bob à deux";"-";"-";"+";"-";"+";"+";"1";"-";"beur";"-";"-";"-"
"46";"+";"-";"bob à quatre";"-";"-";"+";"-";"+";"+";"1";"-";"beur";"-";"-";"-"
"47";"+";"-";"bobsleigh à deux";"-";"-";"+";"-";"+";"+";"1";"sleigh";"beur";"-";"-";"-"
"48";"+";"-";"bobsleigh à quatre";"-";"-";"+";"-";"+";"+";"1";"sleigh";"beur";"-";"-";"-"
"49";"+";"+";"body-building";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"50";"+";"+";"body-surf";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"51";"+";"+";"body-surfing";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"52";"+";"+";"bodysurf";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"53";"+";"+";"bodysurfing";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"54";"+";"+";"botanique";"-";"-";"+";"-";"-";"ste";"-";"que";"ste";"-";"-";"-"
"55";"+";"+";"boule de fort";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"56";"+";"+";"boulingrin";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"57";"+";"-";"boxe";"-";"-";"+";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
"58";"+";"-";"boxe américaine";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"59";"+";"-";"boxe anglaise";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"60";"+";"-";"boxe arabe";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"61";"+";"-";"boxe chinoise";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"62";"+";"+";"boxe française";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"63";"+";"-";"boxe lacrosse";"-";"-";"+";"+";"+";"+";"1";"-";"ur";"+";"-";"-"
"64";"+";"-";"boxe thaï";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"65";"+";"-";"boxe thaïlandaise";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"+";"-";"-"
"66";"+";"+";"brasse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"67";"+";"+";"brasse coulée";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"68";"+";"+";"budo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"69";"+";"-";"caber";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"70";"+";"+";"canne et béton";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"71";"+";"+";"canoë-bi";"-";"-";"+";"-";"+";"+";"1";"ë";"éiste";"-";"-";"-"
"72";"+";"+";"canoë bi-place";"-";"-";"+";"-";"+";"+";"1";"ë";"éiste";"-";"-";"-"
"73";"+";"+";"canoë biplace";"-";"-";"+";"-";"+";"+";"1";"ë";"éiste";"-";"-";"-"
"74";"+";"+";"canoë-kayac";"-";"-";"+";"-";"+";"+";"1";"ë";"éiste";"-";"-";"-"
"75";"+";"+";"canoë-kayak";"-";"-";"+";"-";"+";"+";"1";"ë";"éiste";"-";"-";"-"
"76";"+";"+";"canoë-kayac";"-";"-";"+";"-";"+";"+";"2";"c";"kiste";"-";"-";"-"
"77";"+";"+";"canoë-kayak";"-";"-";"+";"-";"+";"+";"2";"-";"iste";"-";"-";"-"
"78";"+";"+";"canoë-kayac de course";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"79";"+";"+";"canoë-kayak de course";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"80";"+";"+";"canoé-kayac de course";"-";"-";"+";"-";"-";"+";"2";"c";"kiste";"-";"-";"-"
"81";"+";"+";"canoë-kayak de course";"-";"-";"+";"-";"-";"+";"2";"-";"iste";"-";"-";"-"
"82";"+";"+";"canoë-kayac de course en ligne";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"83";"+";"+";"canoë-kayak de course en ligne";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"84";"+";"+";"canoë-kayac de course en ligne";"-";"-";"+";"-";"-";"+";"2";"c";"kiste";"-";"-";"-"
"85";"+";"+";"canoë-kayak de course en ligne";"-";"-";"+";"-";"-";"+";"2";"-";"iste";"-";"-";"-"
"86";"+";"+";"canoë-kayac de course en rivière";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"87";"+";"+";"canoë-kayak de course en rivière";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"88";"+";"+";"canoë-kayac de course en rivière";"-";"-";"+";"-";"-";"+";"2";"c";"kiste";"-";"-";"-"
"89";"+";"+";"canoë-kayak de course en rivière";"-";"-";"+";"-";"-";"+";"2";"-";"iste";"-";"-";"-"
"90";"+";"+";"canoë-kayac de slalom";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"91";"+";"+";"canoë-kayak de slalom";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"92";"+";"+";"canoë-kayac de slalom";"-";"-";"+";"-";"-";"+";"2";"c";"kiste";"-";"-";"-"
"93";"+";"+";"canoë-kayak de slalom";"-";"-";"+";"-";"-";"+";"2";"-";"iste";"-";"-";"-"
"94";"+";"+";"canoë-kayac en eaux vives";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"95";"+";"+";"canoë-kayak en eaux vives";"-";"-";"+";"-";"-";"+";"1";"ë";"éiste";"-";"-";"-"
"96";"+";"+";"canoë-kayac en eaux vives";"-";"-";"+";"-";"-";"+";"2";"c";"kiste";"-";"-";"-"
"97";"+";"+";"canoë-kayak en eaux vives";"-";"-";"+";"-";"-";"+";"2";"-";"iste";"-";"-";"-"
"98";"+";"+";"canoë-mono";"-";"-";"+";"-";"+";"+";"1";"ë";"éiste";"-";"-";"-"
"99";"+";"+";"canotage";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"100";"+";"+";"capoeira";"-";"-";"+";"-";"-";"+";"-";"a";"iste";"-";"-";"-"
"101";"+";"-";"castlng";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"102";"+";"-";"catch à quatre";"-";"-";"+";"-";"+";"+";"1";"-";"eur";"-";"-";"-"
"103";"-";"+";"catch féminin";"-";"-";"+";"-";"+";"+";"1";"-";"euse";"-";"-";"-"
"104";"+";"+";"catéchisme";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"105";"+";"+";"cesta-punta";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"106";"+";"+";"chameau";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"107";"+";"+";"chant";"-";"-";"+";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"108";"+";"+";"char à voile sur glace";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"109";"+";"+";"char à voile sur sable";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"110";"+";"+";"chasse sous-marine";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"-";"-";"-"
"111";"+";"+";"cheval";"-";"-";"-";"-";"-";"+";"-";"-";"cavalier";"-";"-";"-"
"112";"+";"-";"cheval d'arçons";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"113";"+";"+";"cheval de saut";"-";"-";"+";"+";"-";"+";"2";"-";"eur";"-";"-";"-"
"114";"-";"+";"cheval de saut en largeur";"-";"-";"+";"-";"-";"+";"2";"-";"eur";"-";"-";"-"
"115";"+";"+";"chimie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"116";"+";"+";"chimie-physique";"-";"-";"+";"+";"+";"+";"1";"e";"ste";"-";"-";"-"
"117";"+";"+";"chistera";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"118";"+";"+";"chute libre";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"119";"+";"+";"cinéma";"-";"-";"+";"-";"-";"+";"-";"ma";"aste";"-";"+";"-"
"120";"+";"+";"cirque-loisir";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"121";"+";"+";"claquettes";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"122";"+";"+";"classique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"123";"+";"+";"close combat";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"124";"+";"+";"combat aux pieds";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"125";"+";"+";"combat à mains nues";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"126";"+";"+";"combiné nordique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"127";"+";"+";"comique";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-"
"128";"+";"+";"courte paume";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"129";"+";"+";"crawl";"-";"-";"+";"-";"-";"+";"-";"-";"eur";"-";"-";"-"
"130";"+";"-";"crosse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"131";"+";"+";"crosse intérieure";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"132";"+";"+";"cubisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"133";"+";"+";"culturisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"134";"+";"+";"curling";"-";"-";"+";"-";"-";"+";"-";"ing";"eur";"-";"-";"-"
"135";"+";"+";"curling allemand";"-";"-";"+";"-";"+";"+";"1";"ing";"eur";"-";"-";"-"
"136";"+";"+";"cyclisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"137";"+";"+";"cyclisme artistique";"-";"-";"+";"-";"+";"+";"1";"me";"te";"-";"-";"-"
"138";"+";"+";"cyclisme sur piste";"-";"-";"+";"-";"+";"+";"1";"me";"te";"-";"-";"-"
"139";"+";"+";"cyclisme sur route";"-";"-";"+";"-";"+";"+";"1";"me";"te";"-";"-";"-"
"140";"+";"+";"cyclo-tourisme";"-";"-";"+";"-";"-";"+";"1";"me";"te";"-";"-";"-"
"141";"+";"+";"cyclotourisme";"-";"-";"+";"-";"-";"+";"1";"me";"te";"-";"-";"-"
"142";"+";"+";"dactylo";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-"
"143";"+";"+";"dactylographie";"-";"-";"+";"-";"-";"+";"-";"ie";"e";"+";"-";"-"
"144";"+";"+";"dada";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"145";"+";"+";"deux de couple";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"146";"+";"+";"deux de pointe";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147";"+";"-";"deux de pointe avec barreur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"148";"+";"-";"deux de pointe sans barreur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"149";"-";"+";"deux de pointe sans barreuse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"150";"+";"+";"démographie";"-";"-";"+";"-";"-";"+";"-";"ie";"e";"-";"-";"-"
"151";"+";"+";"dirt-track";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"152";"+";"+";"dos";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153";"+";"+";"double mini-trampoline";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"154";"+";"+";"double sail";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"155";"+";"+";"double scull";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"156";"+";"+";"dressage";"-";"-";"+";"-";"-";"+";"-";"age";"eur";"-";"-";"-"
"157";"+";"+";"droit";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"158";"+";"+";"droit commercial";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"159";"+";"+";"droit constitutionnel";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"160";"+";"+";"droit international";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"161";"+";"+";"droit pénal";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"162";"+";"+";"dromadaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"163";"+";"+";"dumping";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"164";"+";"+";"dumpling";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"165";"+";"+";"écologie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"166";"+";"+";"économie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"
"167";"+";"+";"éducation";"-";"-";"+";"-";"-";"+";"-";"ion";"eur";"+";"-";"-"
"168";"+";"+";"éducation artistique";"-";"-";"+";"-";"+";"+";"1";"ion";"eur";"+";"-";"-"
"169";"+";"+";"éducation civique";"-";"-";"+";"-";"+";"+";"1";"ion";"eur";"+";"-";"-"
"170";"+";"+";"éducation économique et sociale";"-";"-";"+";"-";"-";"+";"1";"ion";"eur";"+";"-";"-"
"171";"+";"+";"éducation manuelle et technique";"-";"-";"+";"-";"-";"+";"1";"ion";"eur";"+";"-";"-"
"172";"+";"+";"éducation physique et sportive";"-";"-";"+";"-";"-";"+";"1";"ion";"eur";"+";"-";"-"
"173";"+";"+";"éducation physique";"-";"-";"+";"-";"-";"+";"1";"ion";"eur";"+";"-";"-"
"174";"+";"-";"eisschiessen";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"175";"+";"+";"électronique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"176";"+";"+";"endurance";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"177";"+";"+";"enduro";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"178";"+";"+";"enseignement";"-";"-";"+";"-";"-";"+";"-";"ement";"ant";"+";"-";"-"
"179";"+";"+";"épistémologie";"-";"-";"+";"-";"-";"+";"-";"ie";"ue";"-";"-";"-"
"180";"+";"+";"équitation";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"181";"+";"+";"escrime";"-";"-";"+";"-";"-";"+";"-";"-";"ur";"-";"-";"-"
"182";"+";"+";"espagnol";"-";"-";"+";"-";"-";"+";"-";"-";"hispaniste";"-";"-";"-"
"183";"+";"+";"fauvisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-"
"184";"+";"+";"folk";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"185";"+";"+";"fond";"-";"-";"+";"-";"-";"+";"-";"-";"eur";"-";"-";"-"
"186";"+";"-";"formule de production";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"187";"+";"-";"formule de promotion";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"188";"+";"-";"formule Fiat";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"189";"+";"-";"formule Ford";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
