"<ID>";"faire = accorder";"faire = adresser";"faire = avoir";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"autre Det";"<ENT>N";"Det figé";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = faire l'objet de";"Exemple Base1"
"1";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Poss0";"adieux";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"2";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"allégeance";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"3";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"amabilités";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"amitiés";"Poss0";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"5";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"apologie";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~"
"6";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"apothéose";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~"
"7";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"appel";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"~"
"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"aumône";"la";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"avances";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"10";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"avenant";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"~"
"11";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"bail";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"~"
"12";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"ban";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"13";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"bienfait";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"14";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"bisou";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"15";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"cadeau";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~"
"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"charité";"la";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~"
"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"chatteries";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"18";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"chèque";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"19";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"circulaire";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"20";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"civilités";"Poss0";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"21";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"communication";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"22";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"communiqué";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"23";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"concession";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"~"
"24";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"conditions";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"25";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Poss0";"condoléances";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"26";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"confidence";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"27";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"contrat";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"28";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"coquard";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"29";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"coquart";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"30";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"cordialités";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"31";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"courrier";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"32";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"cours";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"33";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"crédit";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"~"
"34";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"critique";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"~"
"35";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"dation";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"36";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"déclaration";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"37";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"démonstration";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"- ";"~"
"38";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"déposition";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"Max fait une déposition devant le juge"
"39";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"dépôt";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~"
"40";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"devis";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"41";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"dithyrambe";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~"
"42";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Poss0";"doléances";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~"
"43";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"don";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"44";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"donation";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"45";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"éloge";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"~"
"46";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"épître";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"47";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"estafilade";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"Paul a fait une estafilade à Max"
"48";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Poss0";"excuses";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"~"
"49";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"exégèse";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~"
"50";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"faveur";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~"
"51";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"funérailles";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~"
"52";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"générosités";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"53";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"gentillesses";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"54";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"gracieusetés";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"55";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"grief";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"~"
"56";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"hommage";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~"
"57";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"hommages";"Poss0";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"58";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"imprécations";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"~"
"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"instruction";"la";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"60";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"invite";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"61";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"largesses";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~"
"62";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"legs";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"63";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"lettre";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"64";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"libéralités";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"mamours";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"66";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"mercuriale";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"67";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"mignardises";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"~"
"68";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"minauderies";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"~"
"69";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"missive";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~"
"70";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"mot";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~"
"71";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"note";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"72";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"notice";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"73";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"objurgations";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"~"
"74";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"obsèques";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~"
"75";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"observation";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"~"
"76";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"oeillade";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"77";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"offre";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"78";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"ordonnance";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"79";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"ouvertures";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~"
"80";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"panégyrique";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~"
"81";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"passe";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"82";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"pétition";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~"
"83";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"pique";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"84";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"piqure";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"85";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"plainte";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~"
"86";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"pli";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"87";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"préambule";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"~"
"88";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"présent";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"89";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Poss0";"prière";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~"
"90";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"prix";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"~"
"91";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"proposition";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"92";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"rabais";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"93";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"rappel";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"94";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"rapport";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"95";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"réclamation";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"~"
"96";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"récriminations";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"~"
"97";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"réflexion";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"98";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"relance";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"99";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"remarque";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"~"
"100";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"remise";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"101";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"remontrance";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"~"
"102";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"requête";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~"
"103";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"révélation";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"104";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"ristourne";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"105";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"salut";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"106";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"Poss0";"salutations";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"107";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"serment";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"108";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"signal";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"~"
"109";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"signe";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
"110";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"sommations";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~"
"111";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"speech";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"112";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"Poss0";"sujétion";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"113";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"supplique";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~"
"114";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"tendresses";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"115";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"topo";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~"
"116";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"triomphe";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"~"
"117";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"visite";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~"
"118";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"vivats";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~"
"119";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"voeux";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~"
