"<ID>";"<ENT>N";"<OPT>V";"autre Det";"infliger = administrer";"infliger = fixer";"infliger = imposer";"infliger = prescrire";"infliger = prononcer";"Det =: un";"Det =: un-Modif";"Det =: des";"N1 =: Nhum";"N1 =: N-hum";"GN =: le N de N0 à N1";"GN =: le N de N1 par N0";"subir = écoper";"subir = endurer";"subir = essuyer";"subir = être en butte à";"subir = (être+faire) l'objet de";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"asservissement";"asservir";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"~"
"2";"assujettissement";"assujettir";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"~"
"3";"bannissement";"bannir";"le";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"4";"blâme";"blâmer";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"~"
"5";"boycott";"boycotter";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"~"
"6";"boycottage";"boycotter";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"~"
"7";"brimade";"brimer";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"~"
"8";"censure";"censurer";"la";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"~"
"9";"châtiment";"châtier";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"10";"condamnation";"condamner";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"~"
"11";"contrainte";"contraindre";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~"
"12";"déclassement";"déclasser";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"13";"dévastation";"dévaster";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"~"
"14";"excommunication";"excommunier";"la";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"Luc subit une excommunication définitive"
"15";"expropriation";"exproprier";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"Max procède à l'expropriation de Luc"
"16";"flagellation";"flageller";"la";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"Max inflige une flagellation"
"17";"frustration";"frustrer";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"18";"handicap";"handicaper";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~"
"19";"harcèlement";"harceler";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"~"
"20";"huées";"huer";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"~"
"21";"humiliation";"humilier";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"~"
"22";"incarcération";"incarcérer";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"~"
"23";"isolement";"isoler";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"~"
"24";"lapidation";"lapider";"la";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"~"
"25";"majoration";"majorer";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"~"
"26";"matraquage";"matraquer";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"27";"mortification";"mortifier";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"~"
"28";"outrage";"outrager";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"~"
"29";"persécution";"persécuter";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"~"
"30";"plafonnement";"plafonner";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"~"
"31";"privation";"priver";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"~"
"32";"radiation";"radier";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"33";"rationnement";"rationner";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"~"
"34";"ravages";"ravager";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~"
"35";"relégation";"reléguer";"la";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"36";"rétrogradation";"rétrograder";"la";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"37";"sanction";"sanctionner";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~"
"38";"séquestration";"séquestrer";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~"
"39";"spoliation";"spolier";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"~"
"40";"surtaxe";"surtaxer";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~"
"41";"taxation";"taxer";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~"
"42";"taxe";"taxer";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~"
"43";"torture";"torturer";"la";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"~"
"44";"vexation";"vexer";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"~"
